"","CS_ID","age","workclass","education_num","marital_status","relationship","occupation","race","hours_per_week","income","education_cat","gender"
"1","CS1",50,"Self-Employed",13,"M","Not-in-family","White-Collar","White",13.5,2000.3,"universitaria","m"
"2","CS2",38,"Private",9,"D","Husband","Blue-Collar","White",40,51.67,"secundaria","m"
"3","CS3",53,"Private",7,"M","Not-in-family","Blue-Collar","Black",40.5,50.08,"secundaria","m"
"4","CS4",28,"Private",13,"M","Husband","Professional","Black",40,44.21,"universitaria","f"
"5","CS5",37,"Private",14,"M","Wife","White-Collar","White",40.5,0.1,"postuniversitaria","f"
"6","CS6",49,"Private",5,"M","Wife","Service","Black",16,43.93,"primaria","f"
"7","CS7",52,"Self-Employed",9,"M","Not-in-family","White-Collar","White",45,2134.6,"secundaria","m"
"8","CS8",31,"Private",14,"S","Husband","Professional","White",50.5,38.24,"postuniversitaria","f"
"9","CS9",42,"Private",13,"M","Not-in-family","White-Collar","White",40,57.12,"universitaria","m"
"10","CS10",37,"Private",10,"M","Husband","White-Collar","Black",NA,49.72,"universitaria","m"
"11","CS11",30,"Government",13,"M","Husband","Professional","Asian-Pac-Islander",40,51.08,"universitaria","m"
"12","CS12",23,"Private",13,"S","Husband","White-Collar","White",30.5,44.34,"universitaria","f"
"13","CS13",32,"Private",12,"S","Own-child","Sales","Black",50,41.98,"universitaria","m"
"14","CS14",40,"Private",11,"M","Not-in-family","Blue-Collar","Asian-Pac-Islander",40.5,46.53,"universitaria","m"
"15","CS15",34,"Private",4,"M","Husband","Blue-Collar","Amer-Indian-Eskimo",45,42.5,"primaria","m"
"16","CS16",25,"Self-Employed",9,"S","Husband","Blue-Collar","White",35.5,51.16,"secundaria","m"
"17","CS17",32,"Private",9,"S","Own-child","Blue-Collar","White",40.5,51.95,"secundaria","m"
"18","CS18",38,"Private",7,"M","Unmarried","Sales","White",50.5,47.88,"secundaria","m"
"19","CS19",43,"Self-Employed",14,"D","Husband","White-Collar","White",45.5,44.38,"postuniversitaria","f"
"20","CS20",40,"Private",16,"M","Unmarried","Professional","White",60.5,55.01,"postuniversitaria","m"
"21","CS21",54,"Private",9,"X","Husband","Service","Black",20,35.87,"secundaria","f"
"22","CS22",35,"Government",5,"M","Unmarried","Blue-Collar","Black",40.5,49.36,"primaria","m"
"23","CS23",43,"Private",7,"M","Husband","Blue-Collar","White",40.5,52.61,"secundaria","m"
"24","CS24",59,"Private",9,"D","Husband","Service","White",40.5,38.3,"secundaria","f"
"25","CS25",56,"Government",13,"M","Unmarried","Service","White",40.5,56.66,"universitaria","m"
"26","CS26",19,"Private",9,"S","Husband","Blue-Collar","White",40.5,47.19,"secundaria","m"
"27","CS27",54,"Other/Unknown",10,"M","Own-child","Other/Unknown","Asian-Pac-Islander",60,42.7,"universitaria","m"
"28","CS28",39,"Private",9,"D","Husband","White-Collar","White",80,55.67,"secundaria","m"
"29","CS29",49,"Private",9,"M","Not-in-family","Blue-Collar","White",40,53.18,"secundaria","m"
"30","CS30",23,"Government",12,"S","Husband","Service","White",52.5,55.48,"universitaria","m"
"31","CS31",20,"Private",10,"S","Not-in-family","Sales","Black",44,40.87,"universitaria","m"
"32","CS32",45,"Private",13,"D","Own-child","White-Collar","White",40,54.99,"universitaria","m"
"33","CS33",30,"Government",10,"M","Own-child","White-Collar","White",40.5,62.99,"universitaria","m"
"34","CS34",22,"Government",10,"M","Own-child","Service","Black",15,48.97,"universitaria","m"
"35","CS35",48,"Private",7,"S","Husband","Blue-Collar","White",40,52.45,"secundaria","m"
"36","CS36",21,"Private",10,"S","Unmarried","Blue-Collar","White",40,52.31,"universitaria","m"
"37","CS37",19,"Private",9,"M","Own-child","White-Collar","White",25.5,47.22,"secundaria","f"
"38","CS38",31,"Private",10,"M","Wife","Sales","White",38.5,52.05,"universitaria","m"
"39","CS39",48,"Self-Employed",12,"M","Husband","Professional","White",40.5,50.75,"universitaria","m"
"40","CS40",31,"Private",5,"M","Husband","Blue-Collar","White",43.5,53.01,"primaria","m"
"41","CS41",53,"Self-Employed",13,"M","Husband","Professional","White",40.5,50.43,"universitaria","m"
"42","CS42",24,"Private",13,"M","Husband","Service","White",50,52.83,"universitaria","m"
"43","CS43",49,"Private",9,"X","Husband","White-Collar","White",40.5,40.93,"secundaria","f"
"44","CS44",25,"Private",9,"S","Unmarried","Blue-Collar","White",35,54.93,"secundaria","m"
"45","CS45",57,"Government",13,"M","Not-in-family","Professional","Black",40.5,53.36,"universitaria","m"
"46","CS46",53,"Private",9,"M","Husband","Blue-Collar","White",38.5,53.27,"secundaria","m"
"47","CS47",44,"Private",14,"D","Husband","White-Collar","White",40.5,45.05,"postuniversitaria","f"
"48","CS48",41,"Government",11,"M","Unmarried","Blue-Collar","White",40,58.91,"universitaria","m"
"49","CS49",29,"Private",11,"S","Husband","Professional","White",43.5,51.13,"universitaria","m"
"50","CS50",25,"Private",10,"M","Not-in-family","White-Collar","Other",40.5,38.88,"universitaria","f"
"51","CS51",18,"Private",9,"S","Wife","Service","White",30.5,37.74,"secundaria","f"
"52","CS52",47,"Private",15,"M","Own-child","Professional","White",60.5,45.8,"postuniversitaria","f"
"53","CS53",50,"Government",13,"D","Wife","White-Collar","White",55,60.09,"universitaria","m"
"54","CS54",47,"Self-Employed",9,"D","Not-in-family","White-Collar","White",60.5,54.74,"secundaria","m"
"55","CS55",43,"Private",10,"M","Not-in-family","Service","White",40,52.14,"universitaria","m"
"56","CS56",46,"Private",3,"M","Husband","Blue-Collar","White",40,56.54,"primaria","m"
"57","CS57",35,"Private",11,"M","Husband","Service","White",40.5,49.56,"universitaria","m"
"58","CS58",41,"Private",9,"M","Husband","White-Collar","White",48,58.63,"secundaria","m"
"59","CS59",30,"Private",9,"M","Husband","Blue-Collar","White",40.5,55.14,"secundaria","m"
"60","CS60",30,"Private",13,"M","Husband","Sales","White",40,53.56,"universitaria","m"
"61","CS61",32,"Other/Unknown",4,"M","Husband","Other/Unknown","White",40.5,48.16,"primaria","m"
"62","CS62",48,"Private",9,"M","Not-in-family","Blue-Collar","White",40,54.43,"secundaria","m"
"63","CS63",42,"Private",16,"M","Husband","Professional","White",45.5,54.9,"postuniversitaria","m"
"64","CS64",29,"Private",10,"D","Husband","Service","White",58.5,47.67,"universitaria","m"
"65","CS65",36,"Private",9,"M","Not-in-family","Blue-Collar","White",40.5,52.93,"secundaria","m"
"66","CS66",28,"Private",10,"D","Husband","White-Collar","White",40,44.75,"universitaria","f"
"67","CS67",53,"Private",9,"M","Not-in-family","White-Collar","White",40.5,48.48,"secundaria","f"
"68","CS68",49,"Self-Employed",10,"M","Wife","White-Collar","White",50.5,55.18,"universitaria","m"
"69","CS69",25,"Other/Unknown",10,"S","Husband","Other/Unknown","White",40.5,46.89,"universitaria","m"
"70","CS70",19,"Private",10,"S","Own-child","Professional","White",32.5,52.73,"universitaria","m"
"71","CS71",31,"Private",13,"X","Own-child","Sales","Black",40,38.18,"universitaria","f"
"72","CS72",29,"Self-Employed",13,"M","Own-child","Sales","White",70.5,46.38,"universitaria","m"
"73","CS73",23,"Private",10,"S","Husband","Blue-Collar","White",40.5,53,"universitaria","m"
"74","CS74",37.3573817486861,"Private",10,"M","Not-in-family","Professional","White",20.5,52.65,"universitaria","m"
"75","CS75",27,"Private",9,"S","Other-relative","Service","White",40.5,46.42,"secundaria","m"
"76","CS76",40,"Private",12,"M","Own-child","White-Collar","White",40.5,60.17,"universitaria","m"
"77","CS77",37.3573817486861,"Other/Unknown",6,"M","Husband","Other/Unknown","White",2,47.36,"primaria","m"
"78","CS78",18,"Private",7,"S","Husband","Service","White",22,33.93,"secundaria","f"
"79","CS79",31,"Government",4,"M","Own-child","Blue-Collar","White",40,57.73,"primaria","m"
