"CS_ID";"age";"workclass";"fnlwgt";"education_num";"marital_status";"relationship";"occupation";"race";"sex";"capital_gain";"capital_loss";"hours_per_week";"income"
"CS1";50;" Self-Employed";77516;13;" Married";"Not-in-family";" White-Collar";" White";" M";2174;0;"13,5 h";"2000,3 Milers d'euros"
"CS2";38;" Private";83311;9;" Divorced";"Husband";" Blue-Collar";" White";" M";0;0;"40 h";"51,67 Milers d'euros"
"CS3";53;" Private";215646;7;" Married";"Not-in-family";" Blue-Collar";" Black";" M";0;0;"40,5 h";"50,08 Milers d'euros"
"CS4";28;" Private";234721;13;" Married";"Husband";" Professional";" Black";" Fem";0;0;"40 h";"44,21 Milers d'euros"
"CS5";37;" Private";338409;14;" Married";"Wife";" White-Collar";" White";" Fem";0;0;"40,5 h";"0,1 Milers d'euros"
"CS6";49;" Private";284582;5;" Married";"Wife";" Service";" Black";" Fem";0;0;"16 h";"43,93 Milers d'euros"
"CS7";52;" Self-Employed";160187;9;" Married";"Not-in-family";" White-Collar";" White";" M";0;0;"45 h";"2134,6 Milers d'euros"
"CS8";31;" Private";209642;14;" Single";"Husband";" Professional";" White";" Fem";0;0;"50,5 h";"38,24 Milers d'euros"
"CS9";42;" Private";45781;13;" Married";"Not-in-family";" White-Collar";" White";" M";14084;0;"40 h";"57,12 Milers d'euros"
"CS10";37;" Private";159449;10;" Married";"Husband";" White-Collar";" Black";" M";5178;0;"80,5 h";"49,72 Milers d'euros"
"CS11";30;" Government";280464;13;" Married";"Husband";" Professional";" Asian-Pac-Islander";" M";0;0;"40 h";"51,08 Milers d'euros"
"CS12";23;" Private";141297;13;" Single";"Husband";" White-Collar";" White";" Fem";0;0;"30,5 h";"44,34 Milers d'euros"
"CS13";32;" Private";122272;12;" Single";"Own-child";" Sales";" Black";" M";0;0;"50 h";"41,98 Milers d'euros"
"CS14";40;" Private";205019;11;" Married";"Not-in-family";" Blue-Collar";" Asian-Pac-Islander";" M";0;0;"40,5 h";"46,53 Milers d'euros"
"CS15";34;" Private";121772;4;" Married";"Husband";" Blue-Collar";" Amer-Indian-Eskimo";" M";0;0;"45 h";"42,5 Milers d'euros"
"CS16";25;" Self-Employed";245487;9;" Single";"Husband";" Blue-Collar";" White";" M";0;0;"35,5 h";"51,16 Milers d'euros"
"CS17";32;" Private";176756;9;" Single";"Own-child";" Blue-Collar";" White";" M";0;0;"40,5 h";"51,95 Milers d'euros"
"CS18";38;" Private";186824;7;" Married";"Unmarried";" Sales";" White";" M";0;0;"50,5 h";"47,88 Milers d'euros"
"CS19";43;" Self-Employed";28887;14;" Divorced";"Husband";" White-Collar";" White";" Fem";0;0;"45,5 h";"44,38 Milers d'euros"
"CS20";40;" Private";292175;16;" Married";"Unmarried";" Professional";" White";" M";0;0;"60,5 h";"55,01 Milers d'euros"
"CS21";54;" Private";193524;9;" Separated";"Husband";" Service";" Black";" Fem";0;0;"20 h";"35,87 Milers d'euros"
"CS22";35;" Government";302146;5;" Married";"Unmarried";" Blue-Collar";" Black";" M";0;0;"40,5 h";"49,36 Milers d'euros"
"CS23";43;" Private";76845;7;" Married";"Husband";" Blue-Collar";" White";" M";0;0;"40,5 h";"52610 euros"
"CS24";59;" Private";117037;9;" Divorced";"Husband";" Service";" White";" Fem";0;2042;"40,5 h";"38,3 Milers d'euros"
"CS25";56;" Government";109015;13;" Married";"Unmarried";" Service";" White";" M";0;0;"40,5 h";"56,66 Milers d'euros"
"CS26";19;" Private";216851;9;" Single";"Husband";" Blue-Collar";" White";" M";0;0;"40,5 h";"47,19 Milers d'euros"
"CS27";54;" Other/Unknown";168294;10;" Married";"Own-child";" Other/Unknown";" Asian-Pac-Islander";" M";0;0;"60 h";"42,7 Milers d'euros"
"CS28";39;" Private";180211;9;" Divorced";"Husband";" White-Collar";" White";" M";0;0;"80 h";"55,67 Milers d'euros"
"CS29";49;" Private";367260;9;" Married";"Not-in-family";" Blue-Collar";" White";" M";0;0;"40 h";"53,18 Milers d'euros"
"CS30";23;" Government";193366;12;" Single";"Husband";" Service";" White";" M";0;0;"52,5 h";"55,48 Milers d'euros"
"CS31";20;" Private";190709;10;" Single";"Not-in-family";" Sales";" Black";" M";0;0;"44 h";"40,87 Milers d'euros"
"CS32";45;" Private";266015;13;" Divorced";"Own-child";" White-Collar";" White";" M";0;0;"40 h";"54,99 Milers d'euros"
"CS33";30;" Government";386940;10;" Married";"Own-child";" White-Collar";" White";" M";0;1408;"40,5 h";"62,99 Milers d'euros"
"CS34";22;" Government";59951;10;" Married";"Own-child";" Service";" Black";" M";0;0;"15 h";"48,97 Milers d'euros"
"CS35";48;" Private";311512;7;" Single";"Husband";" Blue-Collar";" White";" M";0;0;"40 h";"52,45 Milers d'euros"
"CS36";21;" Private";242406;10;" Single";"Unmarried";" Blue-Collar";" White";" M";0;0;"40 h";"52,31 Milers d'euros"
"CS37";19;" Private";197200;9;" Married";"Own-child";" White-Collar";" White";" Fem";0;0;"25,5 h";"47,22 Milers d'euros"
"CS38";31;" Private";544091;10;" Married";"Wife";" Sales";" White";" M";0;0;"38,5 h";"52,05 Milers d'euros"
"CS39";48;" Self-Employed";84154;12;" Married";"Husband";" Professional";" White";" M";0;0;"40,5 h";"50,75 Milers d'euros"
"CS40";31;" Private";265477;5;" Married";"Husband";" Blue-Collar";" White";" M";0;0;"43,5 h";"53,01 Milers d'euros"
"CS41";53;" Self-Employed";507875;13;" Married";"Husband";" Professional";" White";" M";0;0;"40,5 h";"50430 euros"
"CS42";24;" Private";88506;13;" Married";"Husband";" Service";" White";" M";0;0;"50 h";"52,83 Milers d'euros"
"CS43";49;" Private";172987;9;" Separated";"Husband";" White-Collar";" White";" Fem";0;0;"40,5 h";"40,93 Milers d'euros"
"CS44";25;" Private";94638;9;" Single";"Unmarried";" Blue-Collar";" White";" M";0;0;"35 h";"54,93 Milers d'euros"
