"CS_ID","age","workclass","education_num","marital_status","relationship","occupation","race","gender","hours_per_week","income","education_cat"
"CS1",50,"Self-Employed",13,"M","Not-in-family","White-Collar","White","m",13.5,52,"Universitaria"
"CS2",38,"Private",9,"D","Husband","Blue-Collar","White","m",40,51.67,"Secundaria"
"CS3",53,"Private",7,"M","Not-in-family","Blue-Collar","Black","m",40.5,50.08,"Secundaria"
"CS4",28,"Private",13,"M","Husband","Professional","Black","f",40,44.21,"Universitaria"
"CS5",37,"Private",14,"M","Wife","White-Collar","White","f",40.5,0.1,"Postuniversitaria"
"CS6",49,"Private",5,"M","Wife","Service","Black","f",16,43.93,"Primaria"
"CS7",52,"Self-Employed",9,"M","Not-in-family","White-Collar","White","m",45,52,"Secundaria"
"CS8",31,"Private",14,"S","Husband","Professional","White","f",50.5,38.24,"Postuniversitaria"
"CS9",42,"Private",13,"M","Not-in-family","White-Collar","White","m",40,57.12,"Universitaria"
"CS10",37,"Private",10,"M","Husband","White-Collar","Black","m",50,49.72,"Universitaria"
"CS11",30,"Government",13,"M","Husband","Professional","Asian-Pac-Islander","m",40,51.08,"Universitaria"
"CS12",23,"Private",13,"S","Husband","White-Collar","White","f",30.5,44.34,"Universitaria"
"CS13",32,"Private",12,"S","Own-child","Sales","Black","m",50,41.98,"Universitaria"
"CS14",40,"Private",11,"M","Not-in-family","Blue-Collar","Asian-Pac-Islander","m",40.5,46.53,"Universitaria"
"CS15",34,"Private",4,"M","Husband","Blue-Collar","Amer-Indian-Eskimo","m",45,42.5,"Primaria"
"CS16",25,"Self-Employed",9,"S","Husband","Blue-Collar","White","m",35.5,51.16,"Secundaria"
"CS17",32,"Private",9,"S","Own-child","Blue-Collar","White","m",40.5,51.95,"Secundaria"
"CS18",38,"Private",7,"M","Unmarried","Sales","White","m",50.5,47.88,"Secundaria"
"CS19",43,"Self-Employed",14,"D","Husband","White-Collar","White","f",45.5,44.38,"Postuniversitaria"
"CS20",40,"Private",16,"M","Unmarried","Professional","White","m",60.5,55.01,"Postuniversitaria"
"CS21",54,"Private",9,"X","Husband","Service","Black","f",20,35.87,"Secundaria"
"CS22",35,"Government",5,"M","Unmarried","Blue-Collar","Black","m",40.5,49.36,"Primaria"
"CS23",43,"Private",7,"M","Husband","Blue-Collar","White","m",40.5,52.61,"Secundaria"
"CS24",59,"Private",9,"D","Husband","Service","White","f",40.5,38.3,"Secundaria"
"CS25",56,"Government",13,"M","Unmarried","Service","White","m",40.5,56.66,"Universitaria"
"CS26",19,"Private",9,"S","Husband","Blue-Collar","White","m",40.5,47.19,"Secundaria"
"CS27",54,"Other/Unknown",10,"M","Own-child","Other/Unknown","Asian-Pac-Islander","m",60,42.7,"Universitaria"
"CS28",39,"Private",9,"D","Husband","White-Collar","White","m",80,55.67,"Secundaria"
"CS29",49,"Private",9,"M","Not-in-family","Blue-Collar","White","m",40,53.18,"Secundaria"
"CS30",23,"Government",12,"S","Husband","Service","White","m",52.5,55.48,"Universitaria"
"CS31",20,"Private",10,"S","Not-in-family","Sales","Black","m",44,40.87,"Universitaria"
"CS32",45,"Private",13,"D","Own-child","White-Collar","White","m",40,54.99,"Universitaria"
"CS33",30,"Government",10,"M","Own-child","White-Collar","White","m",40.5,62.99,"Universitaria"
"CS34",22,"Government",10,"M","Own-child","Service","Black","m",15,48.97,"Universitaria"
"CS35",48,"Private",7,"S","Husband","Blue-Collar","White","m",40,52.45,"Secundaria"
"CS36",21,"Private",10,"S","Unmarried","Blue-Collar","White","m",40,52.31,"Universitaria"
"CS37",19,"Private",9,"M","Own-child","White-Collar","White","f",25.5,47.22,"Secundaria"
"CS38",31,"Private",10,"M","Wife","Sales","White","m",38.5,52.05,"Universitaria"
"CS39",48,"Self-Employed",12,"M","Husband","Professional","White","m",40.5,50.75,"Universitaria"
"CS40",31,"Private",5,"M","Husband","Blue-Collar","White","m",43.5,53.01,"Primaria"
"CS41",53,"Self-Employed",13,"M","Husband","Professional","White","m",40.5,50.43,"Universitaria"
"CS42",24,"Private",13,"M","Husband","Service","White","m",50,52.83,"Universitaria"
"CS43",49,"Private",9,"X","Husband","White-Collar","White","f",40.5,40.93,"Secundaria"
"CS44",25,"Private",9,"S","Unmarried","Blue-Collar","White","m",35,54.93,"Secundaria"
"CS45",57,"Government",13,"M","Not-in-family","Professional","Black","m",40.5,53.36,"Universitaria"
"CS46",53,"Private",9,"M","Husband","Blue-Collar","White","m",38.5,53.27,"Secundaria"
"CS47",44,"Private",14,"D","Husband","White-Collar","White","f",40.5,45.05,"Postuniversitaria"
"CS48",41,"Government",11,"M","Unmarried","Blue-Collar","White","m",40,58.91,"Universitaria"
"CS49",29,"Private",11,"S","Husband","Professional","White","m",43.5,51.13,"Universitaria"
"CS50",25,"Private",10,"M","Not-in-family","White-Collar","Other","f",40.5,38.88,"Universitaria"
"CS51",18,"Private",9,"S","Wife","Service","White","f",30.5,37.74,"Secundaria"
"CS52",47,"Private",15,"M","Own-child","Professional","White","f",60.5,45.8,"Postuniversitaria"
"CS53",50,"Government",13,"D","Wife","White-Collar","White","m",55,60.09,"Universitaria"
"CS54",47,"Self-Employed",9,"D","Not-in-family","White-Collar","White","m",60.5,54.74,"Secundaria"
"CS55",43,"Private",10,"M","Not-in-family","Service","White","m",40,52.14,"Universitaria"
"CS56",46,"Private",3,"M","Husband","Blue-Collar","White","m",40,56.54,"Primaria"
"CS57",35,"Private",11,"M","Husband","Service","White","m",40.5,49.56,"Universitaria"
"CS58",41,"Private",9,"M","Husband","White-Collar","White","m",48,58.63,"Secundaria"
"CS59",30,"Private",9,"M","Husband","Blue-Collar","White","m",40.5,55.14,"Secundaria"
"CS60",30,"Private",13,"M","Husband","Sales","White","m",40,53.56,"Universitaria"
"CS61",32,"Other/Unknown",4,"M","Husband","Other/Unknown","White","m",40.5,48.16,"Primaria"
"CS62",48,"Private",9,"M","Not-in-family","Blue-Collar","White","m",40,54.43,"Secundaria"
"CS63",42,"Private",16,"M","Husband","Professional","White","m",45.5,54.9,"Postuniversitaria"
"CS64",29,"Private",10,"D","Husband","Service","White","m",58.5,47.67,"Universitaria"
