"sat","tothrs","hsize","hsrank","hsperc","colgpa","athlete","female","white","black"
920,"43h",0.1,4,40,2.04,TRUE,TRUE,FALSE,FALSE
1170,"18h",9.3999996,191,20.319151,4,FALSE,FALSE,TRUE,FALSE
810,"14h",1.1900001,42,35.294121,1.78,TRUE,FALSE,TRUE,FALSE
940,"40h",5.71,252,44.133099,2.4200001,FALSE,FALSE,TRUE,FALSE
1180,"18h",2.1400001,86,40.18692,2.6099999,FALSE,FALSE,TRUE,FALSE
980,"114h",2.6800001,41,15.29851,3.03,FALSE,TRUE,TRUE,FALSE
880,"78h",3.1099999,161,51.76849,1.84,FALSE,FALSE,FALSE,FALSE
980,"55h",2.6800001,101,37.686569,3.05,FALSE,FALSE,TRUE,FALSE
1240,"18h",3.6700001,161,43.869209,3,FALSE,FALSE,TRUE,FALSE
1230,"17h",0.1,3,30,2,FALSE,FALSE,TRUE,FALSE
1140,"78h",3.3399999,95,28.44311,2.98,FALSE,TRUE,TRUE,FALSE
1150,"43h",3.5899999,13,3.62117,2.9300001,FALSE,TRUE,TRUE,FALSE
1080,"17h",3.1800001,31,9.7484274,2,TRUE,FALSE,TRUE,FALSE
990,"64h",1.92,51,26.5625,2.21,FALSE,TRUE,TRUE,FALSE
1000,"45h",3.6900001,29,7.8590779,3.3299999,FALSE,TRUE,TRUE,FALSE
1050,"14h",2.6600001,134,50.375938,1.0700001,FALSE,TRUE,TRUE,FALSE
1160,"41h",1.45,99,68.275864,2.29,FALSE,TRUE,TRUE,FALSE
1190,"13h",1.76,74,42.04546,3.1500001,FALSE,FALSE,TRUE,FALSE
1030,"110h",3.8599999,81,20.984461,2.6500001,FALSE,TRUE,TRUE,FALSE
960,"106h",3.8299999,66,17.23238,2.4100001,TRUE,FALSE,TRUE,FALSE
840,"104h",1.0700001,7,6.5420561,2.3900001,FALSE,FALSE,TRUE,FALSE
920,"115h",2.1700001,65,29.95392,2.6400001,FALSE,TRUE,TRUE,FALSE
840,"96h",2.3399999,141,60.256409,2.1800001,FALSE,TRUE,TRUE,FALSE
1000,"50h",4.6300001,133,28.7257,2.8399999,FALSE,FALSE,TRUE,FALSE
1150,"100h",5.9499998,301,50.58823,2.8399999,FALSE,TRUE,TRUE,FALSE
1040,"112h",0.91000003,30,32.96703,2.9300001,FALSE,FALSE,TRUE,FALSE
970,"17h",4.3600001,41,9.4036694,2.29,FALSE,TRUE,TRUE,FALSE
1200,"39h",8.1199999,209,25.73892,2.3800001,FALSE,TRUE,TRUE,FALSE
1090,"118h",0.60000002,2,3.333333,3.9200001,FALSE,TRUE,TRUE,FALSE
1340,"46h",3.76,130,34.574471,2.23,FALSE,FALSE,TRUE,FALSE
740,"12h",5.3200002,390,73.308273,1.33,FALSE,TRUE,TRUE,FALSE
880,"85h",3.8,71,18.68421,2.8099999,FALSE,FALSE,TRUE,FALSE
820,"42h",2.28,155,67.982452,2.0899999,TRUE,FALSE,TRUE,FALSE
1060,"43h",5.5100002,248,45.009079,2.25,FALSE,FALSE,TRUE,FALSE
730,"50h",4.8200002,273,56.639,1.9,TRUE,FALSE,FALSE,TRUE
820,"16h",3.9000001,102,26.153851,3,FALSE,TRUE,TRUE,FALSE
780,"71h",0.77999997,17,21.79487,2.4000001,TRUE,FALSE,TRUE,FALSE
