"sat","tothrs","hsize","hsrank","hsperc","colgpa","athlete","female","white","black","gpaletter"
920,43,0.1,4,40,2.04,"TRUE","TRUE","FALSE","FALSE","C"
1170,18,9.3999996,191,20.319151,4,"FALSE","FALSE","TRUE","FALSE","A"
810,14,1.1900001,42,35.294121,1.78,"TRUE","FALSE","TRUE","FALSE","C"
940,40,5.71,252,44.133099,2.4200001,"FALSE","FALSE","TRUE","FALSE","C"
1180,18,2.1400001,86,40.18692,2.6099999,"FALSE","FALSE","TRUE","FALSE","B"
980,114,2.6800001,41,15.29851,3.03,"FALSE","TRUE","TRUE","FALSE","B"
880,78,3.1099999,161,51.76849,1.84,"FALSE","FALSE","FALSE","FALSE","C"
980,55,2.6800001,101,37.686569,3.05,"FALSE","FALSE","TRUE","FALSE","B"
1240,18,3.6700001,161,43.869209,3,"FALSE","FALSE","TRUE","FALSE","B"
1230,17,0.1,3,30,2,"FALSE","FALSE","TRUE","FALSE","C"
1140,78,3.3399999,95,28.44311,2.98,"FALSE","TRUE","TRUE","FALSE","B"
1150,43,3.5899999,13,3.62117,2.9300001,"FALSE","TRUE","TRUE","FALSE","B"
1080,17,3.1800001,31,9.7484274,2,"TRUE","FALSE","TRUE","FALSE","C"
990,64,1.92,51,26.5625,2.21,"FALSE","TRUE","TRUE","FALSE","C"
1000,45,3.6900001,29,7.8590779,3.3299999,"FALSE","TRUE","TRUE","FALSE","B"
1050,14,2.6600001,134,50.375938,1.0700001,"FALSE","TRUE","TRUE","FALSE","D"
1160,41,1.45,99,68.275864,2.29,"FALSE","TRUE","TRUE","FALSE","C"
1190,13,1.76,74,42.04546,3.1500001,"FALSE","FALSE","TRUE","FALSE","B"
1030,110,3.8599999,81,20.984461,2.6500001,"FALSE","TRUE","TRUE","FALSE","B"
960,106,3.8299999,66,17.23238,2.4100001,"TRUE","FALSE","TRUE","FALSE","C"
840,104,1.0700001,7,6.5420561,2.3900001,"FALSE","FALSE","TRUE","FALSE","C"
920,115,2.1700001,65,29.95392,2.6400001,"FALSE","TRUE","TRUE","FALSE","B"
840,96,2.3399999,141,60.256409,2.1800001,"FALSE","TRUE","TRUE","FALSE","C"
1000,50,4.6300001,133,28.7257,2.8399999,"FALSE","FALSE","TRUE","FALSE","B"
1150,100,5.9499998,301,50.58823,2.8399999,"FALSE","TRUE","TRUE","FALSE","B"
1040,112,0.91000003,30,32.96703,2.9300001,"FALSE","FALSE","TRUE","FALSE","B"
970,17,4.3600001,41,9.4036694,2.29,"FALSE","TRUE","TRUE","FALSE","C"
1200,39,8.1199999,209,25.73892,2.3800001,"FALSE","TRUE","TRUE","FALSE","C"
1090,118,0.60000002,2,3.333333,3.9200001,"FALSE","TRUE","TRUE","FALSE","A"
1340,46,3.76,130,34.574471,2.23,"FALSE","FALSE","TRUE","FALSE","C"
740,12,5.3200002,390,73.308273,1.33,"FALSE","TRUE","TRUE","FALSE","D"
880,85,3.8,71,18.68421,2.8099999,"FALSE","FALSE","TRUE","FALSE","B"
820,42,2.28,155,67.982452,2.0899999,"TRUE","FALSE","TRUE","FALSE","C"
1060,43,5.5100002,248,45.009079,2.25,"FALSE","FALSE","TRUE","FALSE","C"
730,50,4.8200002,273,56.639,1.9,"TRUE","FALSE","FALSE","TRUE","C"
820,16,3.9000001,102,26.153851,3,"FALSE","TRUE","TRUE","FALSE","B"
780,71,0.77999997,17,21.79487,2.4000001,"TRUE","FALSE","TRUE","FALSE","C"
1040,78,4.9200001,92,18.69919,2.1600001,"FALSE","FALSE","TRUE","FALSE","C"
870,13,1.86,86,46.236561,2.0699999,"FALSE","TRUE","TRUE","FALSE","C"
940,19,1.85,41,22.162161,2.3499999,"FALSE","FALSE","TRUE","FALSE","C"
980,47,1.52,45,29.605261,2,"TRUE","FALSE","FALSE","TRUE","C"
1020,103,0.1,2,20,2.9100001,"FALSE","TRUE","TRUE","FALSE","B"
1180,105,6.3699999,255,40.031399,3,"TRUE","FALSE","TRUE","FALSE","B"
1100,72,0.12,2,16.66667,2.72,"FALSE","FALSE","TRUE","FALSE","B"
1030,18,2.52,27,10.71429,3.55,"FALSE","FALSE","TRUE","FALSE","A"
960,16,0.1,5,50,3.25,"FALSE","TRUE","TRUE","FALSE","B"
910,15,1.27,28,22.047251,2.8599999,"FALSE","FALSE","TRUE","FALSE","B"
1060,42,0.13,1,7.692307,2.04,"FALSE","FALSE","TRUE","FALSE","C"
880,14,0.029999999,1,33.333328,1.92,"FALSE","TRUE","TRUE","FALSE","C"
1010,17,0.28,2,7.1428571,3.5799999,"FALSE","TRUE","TRUE","FALSE","A"
700,38,0.31999999,22,68.75,2.3900001,"TRUE","FALSE","TRUE","FALSE","C"
930,15,3.72,67,18.01075,3.46,"FALSE","TRUE","TRUE","FALSE","B"
900,18,2.54,69,27.16535,3.1600001,"FALSE","FALSE","TRUE","FALSE","B"
1090,29,2.02,121,59.90099,1.03,"FALSE","FALSE","TRUE","FALSE","D"
1120,79,4.6999998,78,16.595751,3,"FALSE","TRUE","FALSE","FALSE","B"
960,15,4.4699998,320,71.588364,2.3299999,"TRUE","FALSE","FALSE","TRUE","C"
890,37,1.24,50,40.322578,2.45,"TRUE","FALSE","TRUE","FALSE","C"
1240,47,5.3699999,31,5.7728119,3.6500001,"FALSE","FALSE","TRUE","FALSE","A"
1090,113,3.6400001,50,13.73626,3.6099999,"FALSE","TRUE","TRUE","FALSE","A"
820,47,6.3400002,68,10.72555,3.25,"FALSE","TRUE","TRUE","FALSE","B"
940,16,3.4200001,53,15.49708,3.8099999,"FALSE","FALSE","TRUE","FALSE","A"
820,40,5.71,344,60.245178,2.25,"TRUE","FALSE","FALSE","FALSE","C"
970,39,5.6599998,83,14.66431,2.4100001,"TRUE","FALSE","TRUE","FALSE","C"
790,17,5.9699998,72,12.0603,2.8199999,"TRUE","FALSE","TRUE","FALSE","B"
1080,13,0.1,7,70,2.3,"FALSE","TRUE","TRUE","FALSE","C"
850,48,3.0999999,54,17.419359,3.27,"FALSE","TRUE","TRUE","FALSE","B"
850,15,0.73000002,5,6.8493152,2.6600001,"TRUE","TRUE","TRUE","FALSE","B"
820,95,1.3099999,98,74.809158,2.26,"TRUE","FALSE","TRUE","FALSE","C"
1120,12,4.8800001,20,4.098361,2.3299999,"TRUE","FALSE","TRUE","FALSE","C"
880,43,4.0700002,70,17.19902,2.3699999,"TRUE","TRUE","TRUE","FALSE","C"
1540,85,2.3,1,0.43478259,4,"FALSE","FALSE","TRUE","FALSE","A"
780,86,3.47,38,10.95101,3.8099999,"FALSE","FALSE","TRUE","FALSE","A"
1280,55,2.03,3,1.477833,3.8699999,"FALSE","TRUE","TRUE","FALSE","A"
1260,13,2.1700001,5,2.304147,4,"FALSE","TRUE","TRUE","FALSE","A"
830,83,2,84,42,1.95,"TRUE","FALSE","FALSE","TRUE","C"
980,16,0.92000002,28,30.43478,2.4300001,"FALSE","FALSE","TRUE","FALSE","C"
500,14,4.5700002,329,71.991249,1.21,"TRUE","FALSE","TRUE","FALSE","D"
1040,15,3.6099999,31,8.5872574,3,"FALSE","FALSE","TRUE","FALSE","B"
930,12,3.25,26,8,1.75,"FALSE","TRUE","FALSE","FALSE","C"
570,79,3.24,187,57.716049,1.73,"TRUE","FALSE","FALSE","TRUE","C"
820,13,3.03,147,48.514851,1.84,"FALSE","TRUE","TRUE","FALSE","C"
1310,16,4.6700001,122,26.124201,2.25,"FALSE","FALSE","TRUE","FALSE","C"
770,15,1,30,30,2.1300001,"FALSE","TRUE","FALSE","FALSE","C"
1180,18,4.8000002,48,10,3.77,"FALSE","FALSE","TRUE","FALSE","A"
1310,53,3.2,30,9.375,3.22,"FALSE","FALSE","TRUE","FALSE","B"
1150,63,3.02,64,21.192051,2.1700001,"FALSE","FALSE","TRUE","FALSE","C"
1130,113,1.66,33,19.87952,2.77,"FALSE","FALSE","FALSE","FALSE","B"
1110,122,2.04,9,4.4117651,3.3599999,"FALSE","TRUE","TRUE","FALSE","B"
1210,16,2.9300001,14,4.7781572,3.6199999,"FALSE","FALSE","TRUE","FALSE","A"
1090,20,1.87,6,3.2085559,3.7,"FALSE","TRUE","TRUE","FALSE","A"
1040,54,3.55,82,23.098591,2,"FALSE","TRUE","TRUE","FALSE","C"
1340,81,1.11,15,13.51351,3.6900001,"FALSE","TRUE","TRUE","FALSE","A"
900,76,0.86000001,16,18.60465,1.75,"FALSE","FALSE","TRUE","FALSE","C"
650,52,2.0599999,57,27.669901,2.1900001,"TRUE","FALSE","TRUE","FALSE","C"
1190,77,4.2399998,26,6.1320748,3.4000001,"FALSE","TRUE","TRUE","FALSE","B"
990,16,2.51,39,15.53785,1.4299999,"FALSE","TRUE","TRUE","FALSE","D"
1160,50,3.72,79,21.236561,2.78,"FALSE","TRUE","TRUE","FALSE","B"
1140,71,2.4100001,24,9.9585066,2.6099999,"TRUE","FALSE","TRUE","FALSE","B"
1180,87,4.6900001,36,7.6759062,3.0899999,"TRUE","FALSE","TRUE","FALSE","B"
1120,49,0.1,1,10,3.3099999,"FALSE","TRUE","TRUE","FALSE","B"
1010,15,3.1900001,157,49.216301,1.9299999,"FALSE","TRUE","TRUE","FALSE","C"
1160,113,4.02,15,3.731343,2.8800001,"FALSE","FALSE","TRUE","FALSE","B"
1200,16,4.3200002,209,48.379631,3.3099999,"FALSE","TRUE","TRUE","FALSE","B"
720,16,4.3000002,230,53.488369,1.9299999,"TRUE","TRUE","FALSE","FALSE","C"
1190,36,2.6099999,97,37.164749,2.4100001,"FALSE","FALSE","TRUE","FALSE","C"
970,14,3.4100001,116,34.017601,2.9200001,"FALSE","TRUE","TRUE","FALSE","B"
1210,17,5.1100001,1,0.1956947,3.52,"FALSE","TRUE","TRUE","FALSE","A"
930,49,2,65,32.5,2.9300001,"FALSE","FALSE","TRUE","FALSE","B"
1000,74,2.3599999,75,31.779659,2.28,"FALSE","FALSE","TRUE","FALSE","C"
970,42,4.3299999,130,30.02309,1.95,"FALSE","FALSE","TRUE","FALSE","C"
960,45,0.1,3,30,3.02,"TRUE","TRUE","TRUE","FALSE","B"
980,47,0.1,4,40,3.25,"FALSE","FALSE","TRUE","FALSE","B"
960,118,2.26,96,42.477871,3.3199999,"FALSE","FALSE","TRUE","FALSE","B"
970,79,0.1,3,30,2.03,"TRUE","FALSE","TRUE","FALSE","C"
960,79,0.74000001,7,9.4594593,2.3399999,"FALSE","TRUE","TRUE","FALSE","C"
1160,96,2.1199999,19,8.9622641,3.4100001,"FALSE","FALSE","TRUE","FALSE","B"
1080,80,2.1199999,100,47.169811,2.5599999,"FALSE","FALSE","TRUE","FALSE","B"
990,14,3.05,3,0.98360658,4,"FALSE","TRUE","TRUE","FALSE","A"
1130,18,2.3499999,91,38.7234,1.33,"FALSE","TRUE","TRUE","FALSE","D"
1060,12,2.3499999,66,28.08511,2.25,"FALSE","FALSE","TRUE","FALSE","C"
1060,15,2.3499999,44,18.7234,2.5999999,"FALSE","TRUE","TRUE","FALSE","B"
1120,73,2.95,15,5.0847459,2.6300001,"FALSE","FALSE","TRUE","FALSE","B"
1030,17,2.78,59,21.223021,2.5799999,"FALSE","FALSE","TRUE","FALSE","B"
1070,48,3.1500001,99,31.42857,3.04,"FALSE","FALSE","TRUE","FALSE","B"
910,13,3.72,85,22.849461,2.76,"FALSE","FALSE","TRUE","FALSE","B"
1100,108,3.73,188,50.402149,1.95,"FALSE","FALSE","TRUE","FALSE","C"
1000,106,3.73,127,34.04826,2.9200001,"FALSE","FALSE","TRUE","FALSE","B"
1000,17,3.71,99,26.684641,3.4100001,"FALSE","FALSE","TRUE","FALSE","B"
970,46,4.0999999,113,27.56098,2.73,"FALSE","TRUE","TRUE","FALSE","B"
1070,35,6,62,10.33333,2.54,"FALSE","FALSE","TRUE","FALSE","B"
950,15,2.8499999,24,8.4210529,3.0599999,"FALSE","FALSE","TRUE","FALSE","B"
1140,16,2.1700001,34,15.6682,1.9299999,"FALSE","TRUE","TRUE","FALSE","C"
1060,17,1.5599999,27,17.30769,3.23,"FALSE","FALSE","TRUE","FALSE","B"
940,50,2.51,45,17.928289,2.54,"TRUE","FALSE","TRUE","FALSE","B"
960,48,1,39,39,2.22,"FALSE","FALSE","TRUE","FALSE","C"
890,104,2.0999999,38,18.09524,1.99,"FALSE","FALSE","TRUE","FALSE","C"
1120,41,3.28,152,46.341461,1.75,"FALSE","TRUE","TRUE","FALSE","C"
1150,14,0.1,4,40,3.1400001,"FALSE","FALSE","TRUE","FALSE","B"
1270,107,0.1,4,40,3.24,"FALSE","FALSE","TRUE","FALSE","B"
1100,18,0.1,4,40,2,"FALSE","TRUE","TRUE","FALSE","C"
1150,14,0.1,5,50,2.5,"FALSE","FALSE","TRUE","FALSE","B"
1090,15,1.5,79,52.666672,1.6,"FALSE","FALSE","TRUE","FALSE","C"
1220,110,0.1,5,50,3.05,"FALSE","TRUE","TRUE","FALSE","B"
1070,102,0.1,5,50,2.4100001,"FALSE","FALSE","TRUE","FALSE","C"
1030,15,1.36,4,2.9411759,2.73,"FALSE","TRUE","TRUE","FALSE","B"
980,49,3.2,17,5.3125,2.9300001,"FALSE","FALSE","TRUE","FALSE","B"
930,44,2.71,40,14.76015,2.5,"FALSE","TRUE","TRUE","FALSE","B"
1030,43,3.0799999,62,20.129869,2.6900001,"FALSE","TRUE","TRUE","FALSE","B"
1100,71,3.0599999,99,32.35294,2.6099999,"TRUE","FALSE","TRUE","FALSE","B"
1100,18,3.0999999,28,9.032258,2.9400001,"FALSE","FALSE","TRUE","FALSE","B"
1070,50,1.78,10,5.6179781,3.4400001,"FALSE","FALSE","TRUE","FALSE","B"
980,16,2.27,21,9.2511005,3.1199999,"FALSE","FALSE","TRUE","FALSE","B"
1000,50,1.78,23,12.92135,3.46,"FALSE","TRUE","TRUE","FALSE","B"
1190,17,1.78,40,22.47191,3.6400001,"FALSE","TRUE","TRUE","FALSE","A"
1060,35,2.6099999,76,29.118771,2.5699999,"FALSE","FALSE","FALSE","FALSE","B"
1240,16,2.9400001,41,13.94558,3.4300001,"FALSE","TRUE","TRUE","FALSE","B"
950,115,2.1199999,70,33.018871,2.24,"FALSE","TRUE","TRUE","FALSE","C"
1300,42,2.6099999,142,54.406132,2.78,"FALSE","FALSE","TRUE","FALSE","B"
860,92,2.74,110,40.145981,2.1300001,"TRUE","FALSE","TRUE","FALSE","C"
1010,94,2.5599999,74,28.90625,2.6900001,"FALSE","FALSE","TRUE","FALSE","B"
1180,117,2.5599999,94,36.71875,3.29,"FALSE","TRUE","TRUE","FALSE","B"
1040,69,0.1,4,40,2.3099999,"FALSE","TRUE","TRUE","FALSE","C"
1010,16,1.95,36,18.46154,2.3099999,"FALSE","TRUE","TRUE","FALSE","C"
1000,17,1.96,35,17.85714,1.88,"FALSE","FALSE","TRUE","FALSE","C"
1030,17,0.1,3,30,2.47,"FALSE","FALSE","TRUE","FALSE","C"
1100,18,2.3599999,22,9.3220339,2.6600001,"FALSE","FALSE","TRUE","FALSE","B"
1240,92,0.57999998,16,27.58621,2.77,"FALSE","FALSE","TRUE","FALSE","B"
1110,45,0.47999999,20,41.666672,3.77,"TRUE","TRUE","TRUE","FALSE","A"
1070,14,1.86,87,46.774189,1,"FALSE","FALSE","TRUE","FALSE","D"
1040,47,1.95,60,30.76923,2.02,"FALSE","FALSE","TRUE","FALSE","C"
1290,93,2.3099999,1,0.4329004,3.4300001,"FALSE","TRUE","TRUE","FALSE","B"
1010,78,2.3099999,36,15.58442,2.6900001,"FALSE","FALSE","TRUE","FALSE","B"
1080,50,0.50999999,8,15.68627,3.7,"FALSE","FALSE","TRUE","FALSE","A"
1120,41,3.4400001,8,2.3255811,3.6800001,"FALSE","TRUE","TRUE","FALSE","A"
1210,49,3.4400001,120,34.88372,1.97,"FALSE","FALSE","TRUE","FALSE","C"
990,16,4.0100002,94,23.441401,2.9300001,"FALSE","TRUE","TRUE","FALSE","B"
1130,13,1.1,64,58.18182,2.23,"FALSE","FALSE","TRUE","FALSE","C"
840,16,0.47999999,32,66.666656,2.1199999,"TRUE","TRUE","TRUE","FALSE","C"
1050,45,5.5,39,7.090909,3.6600001,"FALSE","TRUE","TRUE","FALSE","A"
1050,15,6.1999998,266,42.903221,1.8,"TRUE","FALSE","TRUE","FALSE","C"
1000,50,5.5,117,21.27273,2.48,"FALSE","TRUE","TRUE","FALSE","C"
1020,81,4.6300001,28,6.0475159,2.97,"FALSE","TRUE","TRUE","FALSE","B"
